"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4348","page title is set (basic SEO / document readiness)","chromium","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4372","scroll-to-top button has correct aria-label (AC6)","chromium","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","9","offer grid matches baseline","Mobile Chrome","2026-05-27","skipped","2026-05-27","Visual regression","visual.spec.ts","",""
"","0","chip click updates URL to preset filters (AC4)","chromium","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","4366","offer grid renders within 10 s (AC4: LCP proxy)","chromium","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","4367","empty state shown when no offers match filter","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4393","page loads without AdSense errors by default (ADSENSE_ENABLED unset)","chromium","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","14166","manually erasing input to empty clears ?q= from URL","Mobile Chrome","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4870","critical data-testid elements are visible","chromium","2026-05-27","passed","2026-05-27","Structural sanity","visual.spec.ts","",""
"","9264","applying a filter keeps hero section mounted","chromium","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Partial-page refresh (AC4)","search-ux.spec.ts","",""
"","9253","typing and pressing Enter sets ?q= param","chromium","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","9749","filter by bank updates URL params","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4685","scroll buttons appear and scroll correctly (AC5, AC6)","Mobile Chrome","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","4369","hero search input is visible on page load","chromium","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4376","dark class applied to html element when theme=dark","chromium","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","1","LCP is below 4 000 ms on home page (AC1)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Core Web Vitals — page load (Feature 031)","lighthouse.spec.ts","",""
"","1","saving a preset writes to localStorage and renders chip (AC2, AC3)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","0","saving a preset writes to localStorage and renders chip (AC2, AC3)","chromium","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","1","delete chip removes it from UI and localStorage (AC5)","chromium","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","1","search dropdown hides within 500 ms after clearing input (AC3 — close)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Search dropdown timing (Feature 031)","lighthouse.spec.ts","",""
"","4364","expired offers not shown on initial load - no includeExpired param in default request","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","17","health endpoint returns 200 with db status when DB is available","Mobile Chrome","2026-05-27","passed","2026-05-27","Atlas Warmup — /api/health endpoint (Feature 012)","atlas-warmup-cron.spec.ts","",""
"","4696","bank filter re-renders grid within 500 ms","Mobile Chrome","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4484","AC8 — 'All' chip always present in FilterDrawer","Mobile Chrome","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","5259","search UX — typeahead works end to end (AC1, AC2)","chromium","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Typeahead (AC1, AC2)","search-ux.spec.ts","",""
"","6300","no JavaScript errors in browser console after dynamic components load (T4)","chromium","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","4419","combobox container carries role=combobox and aria-haspopup=listbox (T3)","Mobile Chrome","2026-05-27","failed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","14033","AC8 — clicking 'All' clears the category filter","Mobile Chrome","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","9750","filter drawer opens and applies filters after dynamic load (T2)","Mobile Chrome","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","4782","category filter re-renders grid within 500 ms","chromium","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4349","page has no horizontal overflow (CLS proxy, AC3)","Mobile Chrome","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4367","hero section is visible on page load","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4863","pagination-controls renders when DB has multiple pages","chromium","2026-05-27","passed","2026-05-27","Structural sanity","visual.spec.ts","",""
"","1","save button visible when filters active, hidden when none (AC1)","chromium","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","8","empty state matches baseline","Mobile Chrome","2026-05-27","skipped","2026-05-27","Visual regression","visual.spec.ts","",""
"","10","pagination-controls renders when DB has multiple pages","Mobile Chrome","2026-05-27","skipped","2026-05-27","Structural sanity","visual.spec.ts","",""
"","5043","FCP is below 3 000 ms on home page (AC2)","chromium","2026-05-27","passed","2026-05-27","Core Web Vitals — page load (Feature 031)","lighthouse.spec.ts","",""
"","6322","no JavaScript errors in browser console after dynamic components load (T4)","Mobile Chrome","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","4615","clear all filters re-renders grid within 500 ms","chromium","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4366","empty state shown when no offers match filter","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","9250","pressing Enter in hero input sets ?q= param","chromium","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4373","offer card bank badge uses full color (no alpha reduction) (T2)","Mobile Chrome","2026-05-27","passed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","4365","filter section is visible on page load","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","0","delete chip removes it from UI and localStorage (AC5)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","5050","LCP is below 4 000 ms on home page (AC1)","chromium","2026-05-27","passed","2026-05-27","Core Web Vitals — page load (Feature 031)","lighthouse.spec.ts","",""
"","4347","page has no horizontal overflow (CLS proxy, AC3)","chromium","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4366","offer grid renders within 10 s on simulated mobile (LCP proxy, AC3)","chromium","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4371","dark class applied to html element when theme=dark","Mobile Chrome","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","9326","search drawer opens and searches correctly after dynamic load (T3)","Mobile Chrome","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","9262","applying a filter keeps hero section mounted","Mobile Chrome","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Partial-page refresh (AC4)","search-ux.spec.ts","",""
"","4425","footer uses text-foreground/70 class, not text-muted-foreground (T1 — contrast fix)","chromium","2026-05-27","passed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","9370","search drawer opens and searches correctly after dynamic load (T3)","chromium","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","4367","hero search input is visible on page load","Mobile Chrome","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4498","AC8 — 'All' chip always present in FilterDrawer","chromium","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","4371","offer grid renders within 10 s (AC4: LCP proxy)","Mobile Chrome","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","9866","AC7 — selecting a dynamic category chip sets ?category= URL param","chromium","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","4363","page has preconnect resource hint for logo CDN (AC5)","Mobile Chrome","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4374","theme toggle button is visible in the header","Mobile Chrome","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","4364","scroll-to-grid button has correct aria-label (AC5)","chromium","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","4974","hero search bar matches baseline","chromium","2026-05-27","passed","2026-05-27","Visual regression","visual.spec.ts","",""
"","1","FCP is below 3 000 ms on home page (AC2)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Core Web Vitals — page load (Feature 031)","lighthouse.spec.ts","",""
"","14164","manually erasing input to empty clears ?q= from URL","chromium","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4372","no FOUC — html has dark class before first paint","chromium","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","4374","offer grid renders within 10 s on simulated mobile (LCP proxy, AC3)","Mobile Chrome","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4366","page has preconnect resource hint for logo CDN (AC5)","chromium","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4391","offer card bank badge uses full color (no alpha reduction) (T2)","chromium","2026-05-27","passed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","3","search dropdown appears within 1 500 ms of typing 2+ chars (AC3)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Search dropdown timing (Feature 031)","lighthouse.spec.ts","",""
"","4842","offer grid matches baseline","chromium","2026-05-27","passed","2026-05-27","Visual regression","visual.spec.ts","",""
"","4376","sidebar ad wrapper is hidden on mobile viewport (AC3)","chromium","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","10","/api/ping responds without a 500 error (AC: warmup cron target)","chromium","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","14162","clear button appears after typing and clears ?q= on click","chromium","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4378","scroll-to-top button has correct aria-label (AC6)","Mobile Chrome","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","0","chip click updates URL to preset filters (AC4)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
"","4376","sidebar ad wrapper is hidden on mobile viewport (AC3)","Mobile Chrome","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","9763","AC7 — selecting a dynamic category chip sets ?category= URL param","Mobile Chrome","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","4373","no FOUC — html has dark class before first paint","Mobile Chrome","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","4371","theme toggle button is visible in the header","chromium","2026-05-27","passed","2026-05-27","Dark Mode (Feature 007)","dark-mode.spec.ts","",""
"","4381","sidebar ad wrapper is present in DOM on desktop viewport (AC3)","chromium","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","9252","pressing Enter in hero input sets ?q= param","Mobile Chrome","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","5254","search UX — typeahead works end to end (AC1, AC2)","Mobile Chrome","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Typeahead (AC1, AC2)","search-ux.spec.ts","",""
"","4363","hero section is visible on page load","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","12","hero search bar matches baseline","Mobile Chrome","2026-05-27","skipped","2026-05-27","Visual regression","visual.spec.ts","",""
"","4351","no horizontal scrollbar on load (layout stability proxy for CLS)","Mobile Chrome","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","4300","/api/offers response includes _timing field (AC3: observability)","Mobile Chrome","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","9858","AC7 — category filter round-trip: select → URL updates","chromium","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","14154","clear button appears after typing and clears ?q= on click","Mobile Chrome","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","4437","combobox container carries role=combobox and aria-haspopup=listbox (T3)","chromium","2026-05-27","failed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","9891","filter drawer opens and applies filters after dynamic load (T2)","chromium","2026-05-27","passed","2026-05-27","Bundle Optimisation (Feature 033)","bundle-optimisation.spec.ts","",""
"","4363","filter section is visible on page load","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4367","page has dns-prefetch hints for image CDNs (AC5)","Mobile Chrome","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4355","no horizontal scrollbar on load (layout stability proxy for CLS)","chromium","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","4374","scroll-to-grid button has correct aria-label (AC5)","Mobile Chrome","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","9739","filter by bank updates URL params","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","9252","typing and pressing Enter sets ?q= param","Mobile Chrome","2026-05-27","passed","2026-05-27","Search — Hero bar","search.spec.ts","",""
"","14","/api/ping responds without a 500 error (AC: warmup cron target)","Mobile Chrome","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","4382","search dropdown appears within 1 500 ms of typing 2+ chars (AC3)","chromium","2026-05-27","passed","2026-05-27","Search dropdown timing (Feature 031)","lighthouse.spec.ts","",""
"","4391","search dropdown hides within 500 ms after clearing input (AC3 — close)","chromium","2026-05-27","passed","2026-05-27","Search dropdown timing (Feature 031)","lighthouse.spec.ts","",""
"","4350","page title is set (basic SEO / document readiness)","Mobile Chrome","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4363","expired offers not shown on initial load - no includeExpired param in default request","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4380","pagination next-page re-renders grid within 500 ms","chromium","2026-05-27","skipped","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4675","category filter re-renders grid within 500 ms","Mobile Chrome","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4626","clear all filters re-renders grid within 500 ms","Mobile Chrome","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","15","health endpoint returns 200 with db status when DB is available","chromium","2026-05-27","passed","2026-05-27","Atlas Warmup — /api/health endpoint (Feature 012)","atlas-warmup-cron.spec.ts","",""
"","4382","sidebar ad wrapper is present in DOM on desktop viewport (AC3)","Mobile Chrome","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","27","health endpoint returns expected JSON shape","chromium","2026-05-27","passed","2026-05-27","Atlas Warmup — /api/health endpoint (Feature 012)","atlas-warmup-cron.spec.ts","",""
"","9711","AC7 — category filter round-trip: select → URL updates","Mobile Chrome","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","4861","filter drawer opens and closes within 500 ms","chromium","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4677","scroll buttons appear and scroll correctly (AC5, AC6)","chromium","2026-05-27","passed","2026-05-27","Search UX Overhaul (Feature 017) > Scroll buttons (AC5, AC6)","search-ux.spec.ts","",""
"","4876","filter drawer opens and closes within 500 ms","Mobile Chrome","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4416","footer uses text-foreground/70 class, not text-muted-foreground (T1 — contrast fix)","Mobile Chrome","2026-05-27","passed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","4434","hero search input does not carry aria-expanded (T3 — ARIA mismatch fix)","chromium","2026-05-27","failed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","26","health endpoint returns expected JSON shape","Mobile Chrome","2026-05-27","passed","2026-05-27","Atlas Warmup — /api/health endpoint (Feature 012)","atlas-warmup-cron.spec.ts","",""
"","4767","bank filter re-renders grid within 500 ms","chromium","2026-05-27","passed","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","5004","empty state matches baseline","chromium","2026-05-27","passed","2026-05-27","Visual regression","visual.spec.ts","",""
"","4370","page has dns-prefetch hints for image CDNs (AC5)","chromium","2026-05-27","passed","2026-05-27","Mobile Performance SLA — Feature 018","mobile-performance-sla.spec.ts","",""
"","4428","hero search input does not carry aria-expanded (T3 — ARIA mismatch fix)","Mobile Chrome","2026-05-27","failed","2026-05-27","Accessibility fixes (Feature 032)","accessibility.spec.ts","",""
"","4384","pagination next-page re-renders grid within 500 ms","Mobile Chrome","2026-05-27","skipped","2026-05-27","Interaction performance budgets (spec 029)","interaction-timing.spec.ts","",""
"","4364","page loads and shows offer grid","Mobile Chrome","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4","critical data-testid elements are visible","Mobile Chrome","2026-05-27","skipped","2026-05-27","Structural sanity","visual.spec.ts","",""
"","4366","page loads and shows offer grid","chromium","2026-05-27","passed","2026-05-27","Offer Listing (Feature 001)","offers.spec.ts","",""
"","4373","page loads without AdSense errors by default (ADSENSE_ENABLED unset)","Mobile Chrome","2026-05-27","passed","2026-05-27","AdSense Integration (Feature 014)","adsense.spec.ts","",""
"","4300","/api/offers response includes _timing field (AC3: observability)","chromium","2026-05-27","passed","2026-05-27","Performance (Feature 004)","performance.spec.ts","",""
"","14167","AC8 — clicking 'All' clears the category filter","chromium","2026-05-27","passed","2026-05-27","Dynamic Category Filters (Feature 030)","categories.spec.ts","",""
"","0","save button visible when filters active, hidden when none (AC1)","Mobile Chrome","2026-05-27","skipped","2026-05-27","Save Filter Presets (Feature 006)","filter-presets.spec.ts","",""
