"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","OfferGrid > renders one card per offer","","2026-05-20","passed","2026-05-20","","src/components/cards/OfferGrid.test.tsx","src/components/cards/OfferGrid.test.tsx",""
"","0","resolveMerchantDomain — curated map > resolves partial match for merchant with location suffix","","2026-05-20","passed","2026-05-20","","crawler/utils/logo.test.ts","crawler/utils/logo.test.ts",""
"","0","Mobile Performance SLA — spec 018 > .lighthouserc.json (AC1) > has LCP assertion with maxNumericValue: 2500 (AC1, AC3)","","2026-05-20","passed","2026-05-20","","src/lib/mobile-performance-sla.test.ts","src/lib/mobile-performance-sla.test.ts",""
"","48","AdUnit > renders the ad unit wrapper with data-testid","","2026-05-20","passed","2026-05-20","","src/components/ads/AdUnit.test.tsx","src/components/ads/AdUnit.test.tsx",""
"","1","ntb scraper > HTTP path > skips a campaign page that is blocked by Incapsula","","2026-05-20","passed","2026-05-20","","crawler/scrapers/ntb.test.ts","crawler/scrapers/ntb.test.ts",""
"","183","FilterDrawer > AC8 — 'All' chip is present even when API errors","","2026-05-20","passed","2026-05-20","","src/components/filters/FilterDrawer.test.tsx","src/components/filters/FilterDrawer.test.tsx",""
"","1","ntb scraper > HTTP path > validates each offer with OfferInputSchema","","2026-05-20","passed","2026-05-20","","crawler/scrapers/ntb.test.ts","crawler/scrapers/ntb.test.ts",""
"","0","ci.yml jobs reference composite setup action (AC2) > migrate job uses actions/checkout then ./.github/actions/setup","","2026-05-20","passed","2026-05-20","","src/lib/ci/workflow.test.ts","src/lib/ci/workflow.test.ts",""
"","30","build-dashboard-index (Feature 025 — AC5) > index.html links to user-flow report when lighthouse-user-flow dir present","","2026-05-20","passed","2026-05-20","","scripts/build-dashboard-index.test.ts","scripts/build-dashboard-index.test.ts",""
"","7","DateFilter > shows clear button when activeFrom is set","","2026-05-20","passed","2026-05-20","","src/components/filters/DateFilter.test.tsx","src/components/filters/DateFilter.test.tsx",""
"","1","GET /api/offers > calls aggregate with $search stage on offers_search index","","2026-05-20","passed","2026-05-20","","src/app/api/offers/route.test.ts","src/app/api/offers/route.test.ts",""
"","7","SearchBar > shows initial query value","","2026-05-20","passed","2026-05-20","","src/components/filters/SearchBar.test.tsx","src/components/filters/SearchBar.test.tsx",""
"","0","expireStaleOffers > expires all offers when active list is empty","","2026-05-20","passed","2026-05-20","","crawler/utils/db.test.ts","crawler/utils/db.test.ts",""
